instance,N,tmax,outcome,outcome_reported,n_points,n_extend_points,t_max_reached,F_min,nsamp_extend
instance_52_d_6,13,0.40515758233577615,crossed,not_extended,8,0,2.0,0.0007545733533333987,
instance_64_d_9,13,0.9403760200432969,crossed,not_extended,8,0,2.0,0.008803473596344702,
instance_6_d_5,13,0.7190441856871164,crossed,not_extended,8,0,2.0,0.0018870435626013205,
instance_70_d_7,13,0.9764803193490267,crossed,not_extended,8,0,2.0,0.01614925383764785,
instance_73_d_7,13,1.3777388395469217,crossed,not_extended,8,0,2.0,0.01989783389144577,
instance_76_d_5,13,0.604819902222273,crossed,not_extended,8,0,2.0,0.001042690931353718,
instance_76_d_7,13,1.0671437033850484,crossed,not_extended,8,0,2.0,0.010830288246506826,
instance_80_d_6,13,1.785362728415492,crossed,not_extended,8,0,2.0,0.07630046583362855,
instance_8_d_13,13,,wall_cap,wall_cap,16,8,16.31461442000001,0.300340756287318,8
instance_96_d_6,13,0.972814589655136,crossed,not_extended,8,0,2.0,0.008897303257253953,
instance_99_d_9,13,2.3581833116338453,crossed,crossed,9,1,2.6,0.06876882517938543,8
instance_9_d_6,13,0.6858762752794156,crossed,not_extended,8,0,2.0,0.003808635685709305,
instance_104_d_6,14,2.329279192837993,crossed,in_progress,9,1,2.6,0.07226206571712013,
instance_105_d_6,14,1.1391207253972508,crossed,not_extended,8,0,2.0,0.01784398048039293,
instance_108_d_5,14,0.6581267125328909,crossed,not_extended,8,0,2.0,0.0028227780378074383,
instance_10_d_5,14,0.9812564131352383,crossed,not_extended,8,0,2.0,0.0014034465450095013,
instance_116_d_5,14,1.4545018831703507,crossed,not_extended,8,0,2.0,0.025273492827545853,
instance_116_d_6,14,1.3378856485974664,crossed,not_extended,8,0,2.0,0.027999032600200736,
instance_119_d_5,14,0.5235119888175613,crossed,not_extended,8,0,2.0,0.003029545304889325,
instance_121_d_13,14,1.7690599644700666,crossed,not_extended,8,0,2.0,0.05813709225185448,
instance_121_d_9,14,0.7421910527907988,crossed,not_extended,8,0,2.0,-0.001442560984287411,
instance_124_d_8,14,1.1456353908781005,crossed,not_extended,8,0,2.0,0.013289234986586962,
instance_125_d_5,14,0.9997579762633197,crossed,not_extended,8,0,2.0,0.013621833026991225,
instance_143_d_7,14,8.251855982404319,crossed,wall_cap,14,6,9.653618000000003,0.04577269494271082,8
instance_14_d_13,14,11.608235829176222,crossed,in_progress,15,7,12.549703400000006,0.08439626518525868,
instance_153_d_14,14,,wall_cap,wall_cap,16,8,16.31461442000001,0.1928869177166191,8
instance_153_d_6,14,0.6872924192711584,crossed,not_extended,8,0,2.0,0.005996969671105035,
instance_154_d_8,14,3.564481152484223,crossed,wall_cap,11,3,4.394000000000001,0.05350704847465768,8
instance_154_d_9,14,1.4027135709410745,crossed,not_extended,8,0,2.0,0.022394552844343708,
instance_156_d_6,14,2.5932994759084744,crossed,crossed,9,1,2.6,0.09917167358812551,8
instance_165_d_7,14,0.9872290762789473,crossed,not_extended,8,0,2.0,0.009328427785658278,
instance_173_d_6,14,1.114565914366296,crossed,not_extended,8,0,2.0,0.023173067308380268,
instance_177_d_8,14,3.2359780332115746,crossed,wall_cap,10,2,3.3800000000000003,0.08947736042762942,8
instance_178_d_8,14,1.8446986468473971,crossed,not_extended,8,0,2.0,0.0707906033261679,
instance_182_d_7,14,0.678370371717872,crossed,not_extended,8,0,2.0,-0.0010289506637491286,
instance_183_d_11,14,1.6000872188149182,crossed,not_extended,8,0,2.0,0.055176873139862435,
instance_184_d_6,14,4.061201219335771,crossed,wall_cap,11,3,4.394000000000001,0.0747712664368938,8
instance_185_d_15,14,,wall_cap,wall_cap,16,8,16.31461442000001,0.8487310317451604,8
instance_18_d_6,14,0.9161327482422716,crossed,not_extended,8,0,2.0,0.008517825375020039,
instance_194_d_5,14,1.3811806897464391,crossed,not_extended,8,0,2.0,0.021766964737616946,
instance_197_d_6,14,0.7374806139682799,crossed,not_extended,8,0,2.0,0.0030675308691570534,
instance_198_d_13,14,7.105236868682253,crossed,wall_cap,13,5,7.425860000000003,0.0905659660779763,8
instance_199_d_6,14,0.8819374666166655,crossed,not_extended,8,0,2.0,0.0032002409672713837,
instance_199_d_8,14,1.6715308619062925,crossed,not_extended,8,0,2.0,0.05993975511082681,
instance_21_d_8,14,1.0578760139659313,crossed,not_extended,8,0,2.0,0.018463379432796502,
instance_22_d_13,14,3.308452781757792,crossed,crossed,10,2,3.3800000000000003,0.092131336530129,8
instance_22_d_9,14,0.9738347773530399,crossed,not_extended,8,0,2.0,0.004430901410523802,
instance_24_d_8,14,3.5867166267380597,crossed,wall_cap,11,3,4.394000000000001,0.052435848880895544,8
instance_27_d_5,14,1.6594412548842192,crossed,not_extended,8,0,2.0,0.05635655697114998,
instance_28_d_12,14,1.126467762696728,crossed,not_extended,8,0,2.0,0.010839951397792901,
instance_30_d_5,14,0.8058430176443341,crossed,not_extended,8,0,2.0,0.004014974161691498,
instance_32_d_5,14,0.8093755219118304,crossed,not_extended,8,0,2.0,0.005984034307766705,
instance_32_d_9,14,1.2393025915992189,crossed,not_extended,8,0,2.0,0.028006931445270312,
instance_33_d_5,14,1.2387105324030652,crossed,not_extended,8,0,2.0,0.021014424656459595,
instance_33_d_6,14,0.6241147652089947,crossed,not_extended,8,0,2.0,0.0008559406793210656,
instance_33_d_8,14,1.583837603210574,crossed,not_extended,8,0,2.0,0.052422253174881916,
instance_36_d_5,14,0.9432156909669736,crossed,not_extended,8,0,2.0,0.005584723841457162,
instance_37_d_9,14,1.111319512931519,crossed,not_extended,8,0,2.0,0.0007848401815863326,
instance_40_d_7,14,0.9799722759057239,crossed,not_extended,8,0,2.0,0.0062477747414959595,
instance_44_d_5,14,1.322910532145809,crossed,not_extended,8,0,2.0,0.029682189971208573,
instance_45_d_6,14,0.8328884557565359,crossed,not_extended,8,0,2.0,0.0017076780757633969,
instance_46_d_6,14,1.6328413388377006,crossed,not_extended,8,0,2.0,0.050773013131401964,
instance_46_d_7,14,1.0948792095488218,crossed,not_extended,8,0,2.0,0.0028141912436694836,
instance_49_d_5,14,1.0278906556297087,crossed,not_extended,8,0,2.0,0.006215749573311768,
instance_54_d_6,14,1.6809208200758512,crossed,not_extended,8,0,2.0,0.06967660960508511,
instance_59_d_6,14,0.7482453597450167,crossed,not_extended,8,0,2.0,0.009334579337155447,
instance_65_d_7,14,0.9894460811390393,crossed,not_extended,8,0,2.0,0.0045105263503501195,
instance_68_d_7,14,1.1624028148038843,crossed,not_extended,8,0,2.0,0.018099594468367286,
instance_70_d_5,14,2.3913544139648555,crossed,crossed,9,1,2.6,0.0701274050973725,8
instance_70_d_6,14,1.2036171644419817,crossed,not_extended,8,0,2.0,0.018689454309060237,
instance_72_d_5,14,1.0884970250504598,crossed,not_extended,8,0,2.0,0.008839602643274703,
instance_72_d_6,14,0.8223394441618275,crossed,not_extended,8,0,2.0,0.001609446943621151,
instance_74_d_6,14,0.6736254608506569,crossed,not_extended,8,0,2.0,-0.0027232321663177572,
instance_75_d_7,14,0.9150531973991356,crossed,not_extended,8,0,2.0,0.0072667848580749705,
instance_77_d_15,14,6.924353174157562,crossed,wall_cap,13,5,7.425860000000003,0.07929158998843068,8
instance_78_d_6,14,1.6641334069126563,crossed,not_extended,8,0,2.0,0.04354596986377146,
instance_79_d_7,14,1.874212891122043,crossed,not_extended,8,0,2.0,0.08381479401869,
instance_7_d_15,14,18.729307019182222,crossed,in_progress,17,9,21.208998746000013,0.0759321345191144,
instance_82_d_9,14,2.1271867001710443,crossed,crossed,9,1,2.6,0.06765180053113234,8
instance_83_d_7,14,1.5467610183042584,crossed,not_extended,8,0,2.0,0.046400627226103094,
instance_89_d_5,14,1.1237662794109247,crossed,not_extended,8,0,2.0,0.024033873165899423,
